Shelter,SensorType,SensorCode,Plot,Position,Treatment
1,SurfaceTemp,TargTemp_Avg.1.,3,Surface,AmbDrt
1,SurfaceTemp,TargTemp_Avg.2.,4,Surface,EleCon
1,SurfaceTemp,TargTemp_Avg.3.,5,Surface,EleDrt
1,SurfaceTemp,TargTemp_Avg.4.,6,Surface,AmbCon
1,AirT,AirT2_Avg,NA,In,NA
1,Humidity,RH_Avg,NA,In,NA
1,PAR,PAR_Avg,NA,In,NA
2,SurfaceTemp,TargTemp_Avg.1.,3,Surface,EleDrt
2,SurfaceTemp,TargTemp_Avg.2.,4,Surface,AmbDrt
2,SurfaceTemp,TargTemp_Avg.3.,5,Surface,AmbCon
2,SurfaceTemp,TargTemp_Avg.4.,6,Surface,EleCon
2,AirT,AirT2_Avg,NA,Out,NA
2,Humidity,RH_Avg,NA,Out,NA
2,PAR,PAR_Avg,NA,Out,NA
3,SurfaceTemp,TargTemp_Avg.1.,3,Surface,AmbCon
3,SurfaceTemp,TargTemp_Avg.2.,4,Surface,EleCon
3,SurfaceTemp,TargTemp_Avg.3.,5,Surface,EleDrt
3,SurfaceTemp,TargTemp_Avg.4.,6,Surface,AmbDrt
3,AirT,AirT2_Avg,NA,In,NA
3,Humidity,RH_Avg,NA,In,NA
3,PAR,PAR_Avg,NA,In,NA
4,SurfaceTemp,TargTemp_Avg.1.,3,Surface,EleCon
4,SurfaceTemp,TargTemp_Avg.2.,4,Surface,AmbDrt
4,SurfaceTemp,TargTemp_Avg.3.,5,Surface,AmbCon
4,SurfaceTemp,TargTemp_Avg.4.,6,Surface,EleDrt
4,AirT,AirT2_Avg,NA,Out,NA
4,Humidity,RH_Avg,NA,Out,NA
4,PAR,PAR_Avg,NA,Out,NA
5,SurfaceTemp,TargTemp_Avg.1.,3,Surface,EleCon
5,SurfaceTemp,TargTemp_Avg.2.,4,Surface,AmbDrt
5,SurfaceTemp,TargTemp_Avg.4.,5,Surface,AmbCon
5,SurfaceTemp,TargTemp_Avg.3.,6,Surface,EleDrt
5,AirT,AirT2_Avg,NA,In,NA
5,Humidity,RH_Avg,NA,In,NA
5,PAR,PAR_Avg,NA,In,NA
6,SurfaceTemp,TargTemp_Avg.1.,3,Surface,EleDrt
6,SurfaceTemp,TargTemp_Avg.2.,4,Surface,AmbCon
6,SurfaceTemp,TargTemp_Avg.3.,5,Surface,EleCon
6,SurfaceTemp,TargTemp_Avg.4.,6,Surface,AmbDrt
6,AirT,AirT2_Avg,NA,Out,NA
6,Humidity,RH_Avg,NA,Out,NA
6,PAR,PAR_Avg,NA,Out,NA
